,cap,dim,rad,mean_cap,center_corr,K,EVD90,PR,P,M,N,layer,seed,model,manifold_type,eps,eps_step,max_iter,clean_accuracy,adv_accuracy,random
0,0.08280826084643911,19.954260607192236,1.2063210862841947,0.06076670988936296,0.42640441287098035,2,68,9.571654474356086,10,50,2000,0.pixels,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
1,0.03644013078341219,36.1060358470495,1.6774458356478203,0.06076670988936296,0.42640441287098035,2,68,9.571654474356086,10,50,2000,0.pixels,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
2,0.050000763273958124,29.577115236861438,1.4551540898552955,0.06076670988936296,0.42640441287098035,2,68,9.571654474356086,10,50,2000,0.pixels,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
3,0.059898992439592215,25.791336484112076,1.3406074486888724,0.06076670988936296,0.42640441287098035,2,68,9.571654474356086,10,50,2000,0.pixels,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
4,0.0531156308270879,28.372994268593693,1.4647487420751308,0.06076670988936296,0.42640441287098035,2,68,9.571654474356086,10,50,2000,0.pixels,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
5,0.08669418994504617,20.145045303943242,1.1740365570378455,0.06076670988936296,0.42640441287098035,2,68,9.571654474356086,10,50,2000,0.pixels,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
6,0.05746198670852189,26.314598742693164,1.331973147069343,0.06076670988936296,0.42640441287098035,2,68,9.571654474356086,10,50,2000,0.pixels,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
7,0.06367551145146032,24.22458282017438,1.2431228692673861,0.06076670988936296,0.42640441287098035,2,68,9.571654474356086,10,50,2000,0.pixels,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
8,0.08194111469408255,20.270808657396238,1.2304437352021658,0.06076670988936296,0.42640441287098035,2,68,9.571654474356086,10,50,2000,0.pixels,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
9,0.07887684331228102,21.651452714093,1.1942131527853528,0.06076670988936296,0.42640441287098035,2,68,9.571654474356086,10,50,2000,0.pixels,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
0,0.0404402908803558,35.965397806636346,1.4747528407799846,0.039826823933836346,0.15286039924783681,1,372,279.5402628439143,10,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
1,0.04096472217700392,35.47202828722064,1.4530945836600708,0.039826823933836346,0.15286039924783681,1,372,279.5402628439143,10,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
2,0.03869848969312758,36.99922493881629,1.5451877815008805,0.039826823933836346,0.15286039924783681,1,372,279.5402628439143,10,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
3,0.039874668847066315,36.43807172790608,1.496504341657716,0.039826823933836346,0.15286039924783681,1,372,279.5402628439143,10,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
4,0.03630955509015933,37.299411474348005,1.5316918197318714,0.039826823933836346,0.15286039924783681,1,372,279.5402628439143,10,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
5,0.04428924809773621,33.95993722236569,1.3544977325067282,0.039826823933836346,0.15286039924783681,1,372,279.5402628439143,10,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
6,0.03660737604395258,37.76179107397061,1.5410981300052922,0.039826823933836346,0.15286039924783681,1,372,279.5402628439143,10,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
7,0.04089868722692788,35.38297653573501,1.4674981692639095,0.039826823933836346,0.15286039924783681,1,372,279.5402628439143,10,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
8,0.03978398548027126,36.31799958718279,1.5054235130808151,0.039826823933836346,0.15286039924783681,1,372,279.5402628439143,10,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
9,0.0416571077514678,36.07311013866795,1.4812752029619949,0.039826823933836346,0.15286039924783681,1,372,279.5402628439143,10,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
0,0.04032753220038489,36.01333616514077,1.4808433784651795,0.03974729090293197,0.14364897575438282,1,370,305.8925648942159,10,50,2000,2.block1,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
1,0.041462150193707144,35.2503061024224,1.4413481915711717,0.03974729090293197,0.14364897575438282,1,370,305.8925648942159,10,50,2000,2.block1,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
2,0.040262624067970154,36.299245061587385,1.4927555566402624,0.03974729090293197,0.14364897575438282,1,370,305.8925648942159,10,50,2000,2.block1,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
3,0.03967216642292086,36.6971516201562,1.503089782759469,0.03974729090293197,0.14364897575438282,1,370,305.8925648942159,10,50,2000,2.block1,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
4,0.03733231180448263,36.666807713793155,1.5080366595035157,0.03974729090293197,0.14364897575438282,1,370,305.8925648942159,10,50,2000,2.block1,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
5,0.03907358879118384,36.528236823502205,1.470874007504672,0.03974729090293197,0.14364897575438282,1,370,305.8925648942159,10,50,2000,2.block1,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
6,0.03740594995110295,37.37655850285208,1.5132652467375753,0.03974729090293197,0.14364897575438282,1,370,305.8925648942159,10,50,2000,2.block1,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
7,0.0409345879634079,35.33183149070659,1.466158290552682,0.03974729090293197,0.14364897575438282,1,370,305.8925648942159,10,50,2000,2.block1,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
8,0.03999088208028894,36.11083489909949,1.5054355147085876,0.03974729090293197,0.14364897575438282,1,370,305.8925648942159,10,50,2000,2.block1,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
9,0.04152340956249273,36.18125966487361,1.4782043433737058,0.03974729090293197,0.14364897575438282,1,370,305.8925648942159,10,50,2000,2.block1,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
0,0.06821404572844801,26.156933947799573,1.1708161884847728,0.04784085928606432,0.2583945352386298,1,294,176.99732039665176,10,50,2000,3.block2,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
1,0.04370027736199485,33.091724361528236,1.296892189674868,0.04784085928606432,0.2583945352386298,1,294,176.99732039665176,10,50,2000,3.block2,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
2,0.04070663185721457,35.68392389353659,1.4812937758156588,0.04784085928606432,0.2583945352386298,1,294,176.99732039665176,10,50,2000,3.block2,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
3,0.04316598410870435,34.2511152618193,1.4286958018763194,0.04784085928606432,0.2583945352386298,1,294,176.99732039665176,10,50,2000,3.block2,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
4,0.04164345665821919,34.92078704930662,1.504995403916721,0.04784085928606432,0.2583945352386298,1,294,176.99732039665176,10,50,2000,3.block2,0,CIFAR_VOneResNet18,class,0.00392156862745098,0.000980392156862745,16,0.8911,0.83,False
