,cap,dim,rad,mean_cap,center_corr,K,EVD90,PR,P,M,N,layer,seed,model,manifold_type,eps,eps_step,max_iter,random
0,0.06332567141327355,27.604874753462198,1.094456698531342,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
1,0.06602663213215841,27.084344832239726,1.1376497904656921,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
2,0.06082760523146274,27.309810048098228,1.0755267480976753,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
3,0.05570916767298004,29.879287910601143,1.1496688372229829,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
4,0.04987198995630281,31.616625828371802,1.3115034022210328,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
5,0.048042213696104154,32.60744065034254,1.3087549798956206,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
6,0.056759943780064284,28.588520145930897,1.1590736535000967,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
7,0.06613258268413363,27.659050544989235,1.1548485152849806,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
8,0.07505768973632963,25.935085252089767,1.1037737187699586,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
9,0.058661559366757446,28.815631781735075,1.1333319815453398,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
10,0.06999171799643687,26.3059468084615,1.0590502878526855,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
11,0.07603707308679906,25.724196021559703,1.081169940002365,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
12,0.05172165296141399,31.242557239798025,1.298176814666203,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
13,0.060754528568256944,28.441204287188544,1.1514275498202944,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
14,0.06414977690021122,27.875396684586285,1.1708447006507288,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
15,0.07297711035136456,25.763760764716082,1.063935811388424,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
16,0.06474650638709763,27.271291453640643,1.1043974334542748,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
17,0.05815763887388384,29.008557602922806,1.145661600830463,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
18,0.041080485376901274,35.259755360963716,1.4120264603754453,0.05873362532356313,0.19370412412201266,7,1087,461.8588340277772,50,50,2000,1.VOneBlock.Noise,0,CIFAR_VOneResNet18,exemplar,0.03137254901960784,0.03137254901960784,1,False
